INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR;WEIGHT_BF;VALUE_BF;EXECUTION_TIME_BF;WEIGHT_BB;VALUE_BB;EXECUTION_TIME_BB;WEIGHT_DP;VALUE_DP;EXECUTION_TIME_DP;WEIGHT_OT;VALUE_OT;EXECUTION_TIME_IP;WEIGHT_IP;VALUE_IP;EXECUTION_TIME_OT
;problem_10_500_2_4_5.txt;1289;1493;0;1387;1501;0;1387;1501;0;1387;1501;0;1387;1501;0;1387;1501;25
;problem_10_500_2_5_5.txt;2754;2878;0;2935;2990;0;2935;2990;0;2935;2990;0;2935;2990;0;2935;2990;17
;problem_10_500_3_1_5.txt;497;537;0;497;537;0;497;537;0;497;537;0;497;537;0;497;537;13
;problem_10_500_3_2_5.txt;977;1017;0;1149;1189;0;1149;1189;0;1149;1189;0;1149;1189;0;1149;1189;89
;problem_10_500_3_3_5.txt;722;792;0;1038;1108;0;1038;1108;0;1038;1108;0;1038;1108;1;1038;1108;19
;problem_10_500_3_4_5.txt;1562;1642;0;1633;1703;0;1633;1703;0;1633;1703;0;1633;1703;0;1633;1703;95
;problem_10_500_3_5_5.txt;2771;2851;0;3079;3159;0;3079;3159;0;3079;3159;0;3079;3159;1;3079;3159;14
;problem_10_500_4_1_5.txt;485;485;0;498;498;2;498;498;0;498;498;0;498;498;0;498;498;12
;problem_10_500_4_2_5.txt;1098;1098;0;1154;1154;0;1154;1154;0;1154;1154;0;1154;1154;0;1154;1154;112
;problem_10_500_4_3_5.txt;792;792;0;1038;1038;0;1038;1038;0;1038;1038;0;1038;1038;0;1038;1038;17
;problem_10_500_4_4_5.txt;1600;1600;0;1637;1637;1;1637;1637;0;1637;1637;0;1637;1637;0;1637;1637;99
;problem_10_500_4_5_5.txt;3068;3068;0;3079;3079;0;3079;3079;0;3079;3079;0;3079;3079;0;3079;3079;14
;problem_10_1000_1_1_5.txt;786;2098;3;964;2287;0;964;2287;0;964;2287;0;964;2287;0;964;2287;20
;problem_10_1000_1_2_5.txt;1785;4084;0;1879;4089;0;1879;4089;0;1879;4089;0;1879;4089;0;1879;4089;12
;problem_10_1000_1_3_5.txt;2320;2993;0;2616;3183;0;2616;3183;0;2616;3183;0;2616;3183;0;2616;3183;23
;problem_10_1000_1_4_5.txt;2367;4649;0;2367;4649;0;2367;4649;0;2367;4649;0;2367;4649;0;2367;4649;9
;problem_10_1000_1_5_5.txt;5123;4213;0;5123;4213;0;5123;4213;0;5123;4213;0;5123;4213;0;5123;4213;13
;problem_10_1000_2_1_5.txt;991;1207;0;991;1207;0;991;1207;0;991;1207;0;991;1207;0;991;1207;12
;problem_10_1000_2_2_5.txt;1819;2047;0;1819;2047;0;1819;2047;0;1819;2047;0;1819;2047;0;1819;2047;72
;problem_10_1000_2_3_5.txt;2355;2661;0;2616;2864;0;2616;2864;0;2616;2864;0;2616;2864;0;2616;2864;16
;problem_10_1000_2_4_5.txt;2184;2476;0;2386;2561;0;2386;2561;0;2386;2561;0;2386;2561;0;2386;2561;23
;problem_10_1000_2_5_5.txt;4930;4959;0;5367;5336;0;5367;5336;0;5367;5336;0;5367;5336;0;5367;5336;18
;problem_10_1000_3_1_5.txt;990;1030;0;990;1030;0;990;1030;0;990;1030;0;1000;1030;0;990;1030;75
;problem_10_1000_3_2_5.txt;2132;2182;0;2153;2183;0;2153;2183;0;2153;2183;0;2153;2183;0;2153;2183;124
;problem_10_1000_3_3_5.txt;2204;2264;0;2288;2338;0;2288;2338;0;2288;2338;0;2288;2338;0;2288;2338;47
;problem_10_1000_3_4_5.txt;2469;2549;0;2633;2703;1;2633;2703;0;2633;2703;0;2633;2703;0;2633;2703;102
;problem_10_1000_3_5_5.txt;3926;4006;0;4730;4800;0;4730;4800;0;4730;4800;0;4730;4800;0;4730;4800;68
;problem_10_1000_4_1_5.txt;905;905;0;1000;1000;0;1000;1000;0;1000;1000;0;1000;1000;0;1000;1000;90
;problem_10_1000_4_2_5.txt;1598;1598;0;2153;2153;0;2153;2153;0;2153;2153;0;2153;2153;1;2153;2153;110
;problem_10_1000_4_3_5.txt;2261;2261;0;2288;2288;0;2288;2288;0;2288;2288;0;2288;2288;0;2288;2288;18
;problem_10_1000_4_4_5.txt;2600;2600;0;2633;2633;0;2633;2633;0;2633;2633;0;2633;2633;0;2633;2633;109
;problem_10_1000_4_5_5.txt;4568;4568;0;4730;4730;0;4730;4730;0;4730;4730;0;4730;4730;0;4730;4730;20
;problem_50_50_1_1_5.txt;245;581;0
